URL,Heading,Content
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Foundation in Data Analysis,Develop a strong foundation in data collection and analysis. This module will introduce you to qualitative and quantitative data and how to analyse it; the collection of primary and secondary data; the production of high quality graphics; and report writing.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Academic Writing Skills,"Developing confidence in expression, oral as well as written, is a key feature of this module, which also aims to familiarise you with submission and assessment procedures in the context of Higher Education. This is a clear building block onto your degree programme and places you at a distinct advantage when you move into the following year."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Accounting and Finance,"Delve into topics such as financing decisions, cost behaviour, cost-volume-profit analysis, absorption costing, variance analysis and budgeting."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Developing Self & Others,Assessing your human skills and developing good habits is central to your professional development. This module allows you to gain a better understanding of what is needed from the wider business perspective and apply theories of positive habit development in practice.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Introduction to Economics,"This introduction covers both microeconomics (the affairs of individual consumers, firms and government) and macroeconomics (the study of the economy as a whole)."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Financial Accounting,"This module will provide you with introductory accounting knowledge covering basic double entry book-keeping, analysis and preparing a simple set of financial statements."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Introduction to Finance,"This module introduces you to the finance discipline. You'll explore the basic principles of finance, complemented with an analysis of case studies and examples from the finance news. There will be a special emphasis on ethical and sustainable finance."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Marketing,"Marketing is an exciting, dynamic, and creative environment to work in. It places brands in the consumers' mind and shapes their decisions. Marketing is a critical management function that is essential to business success. This module allows you to work with an organisation on a live marketing project based on a real-life challenge."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Financial Reporting,This module covers the regulatory aspects of financial reporting. It will enable you to understand and evaluate financial statements according to international accounting standards.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Financial Management,"Explore the operational activities responsible for obtaining and ultilising the funds for efficient operations. This module will expose you to a wide range of important financial management tools, techniques, and underpinning theories relevant for decision-making in today's competitive financial environment."
